 *********************************************************************
             E=    -0.500 theoretical n=     1.000
 *********************************************************************
              r   wave func(r)
      0.720E+01      0.302E-03     -0.260E-03
      0.721E+01      0.298E-03     -0.257E-03
      0.722E+01      0.295E-03     -0.254E-03
      0.723E+01      0.292E-03     -0.252E-03
      0.725E+01      0.289E-03     -0.249E-03
      0.726E+01      0.286E-03     -0.246E-03
      0.727E+01      0.283E-03     -0.244E-03
      0.728E+01      0.280E-03     -0.241E-03
      0.730E+01      0.277E-03     -0.239E-03
      0.731E+01      0.274E-03     -0.236E-03
      0.732E+01      0.271E-03     -0.234E-03
      0.733E+01      0.268E-03     -0.231E-03
      0.735E+01      0.265E-03     -0.229E-03
      0.736E+01      0.262E-03     -0.227E-03
      0.737E+01      0.259E-03     -0.224E-03
      0.738E+01      0.257E-03     -0.222E-03
      0.740E+01      0.254E-03     -0.219E-03
      0.741E+01      0.251E-03     -0.217E-03
      0.742E+01      0.248E-03     -0.215E-03
      0.743E+01      0.246E-03     -0.213E-03
      0.745E+01      0.243E-03     -0.210E-03
      0.746E+01      0.240E-03     -0.208E-03
      0.747E+01      0.238E-03     -0.206E-03
      0.748E+01      0.235E-03     -0.204E-03
